SITE$,FSVLAFTER,TOTAFTER,MASSaft,RCM,CSIZE
OR,60,120,3.886,0.293901184,2
OR,60,135,3.9594,0.23407587,2
OR,60,135,4.554,0.197562582,2
OR,60,128,4.355,0.239334099,2
OR,60,137,4.5683,0.235908325,2
OR,60,137,4.0784,0.271356414,2
OR,60,138,4.0371,0.303609026,3
OR,60,145,4.1605,0.371589953,3
OR,60,139,4.7289,0.300725327,3
OR,60,128,4.4764,0.333996068,3
OR,60,103,,,
OR,60,118,6.4914,,
OR,60,144,5.6631,,
CP,61,164,6.657,0.207390717,2
CP,61,115,5.7247,0.168917148,2
OR,61,136,4.3653,0.108537787,1
OR,61,123,3.4637,0.15867425,1
OR,61,134,4.2391,0.116746479,1
OR,61,107,4.0918,0.12889193,1
OR,61,134,4.093,0.12509162,1
OR,61,120,4.3211,,1
OR,61,109,4.6427,0.105800504,1
OR,61,122,4.0201,0.132583767,1
OR,61,112,8.1649,0.065524379,1
OR,61,139,5.5138,0.116562081,1
OR,61,124,4.1018,0.109464138,1
OR,61,140,4.4455,0.120436396,1
OR,61,141,4.6045,0.120469106,1
OR,61,139,4.8114,0.192771335,2
OR,61,102,4.199,0.241462253,2
OR,61,145,4.8795,0.2117635,2
OR,61,119,4.0299,0.287749076,2
OR,61,136,4.2378,0.222403134,2
OR,61,143,3.1368,0.304514155,2
OR,61,131,3.7683,0.295783244,2
OR,61,125,3.228,0.34649938,2
OR,61,135,2.928,0.29170082,2
OR,61,136,3.9649,0.280814144,2
OR,61,101,4.5657,0.242635302,2
OR,61,131,4.2242,0.265352019,2
OR,61,104,3.3915,0.320153324,2
OR,61,115,3.1318,0.312759435,2
OR,61,117,3.4895,0.300100301,2
OR,61,132,3.8282,0.275717047,2
OR,61,135,4.314,0.222716736,2
OR,61,128,3.4663,0.328159709,2
OR,61,126,3.7594,0.252380699,2
OR,61,131,3.9388,0.26190718,2
OR,61,148,4.3288,0.189521345,2
OR,61,137,4.5537,0.1871006,2
OR,61,128,4.109,0.286225359,2
OR,61,151,3.6918,0.26799935,2
OR,61,95,4.6086,0.225491472,2
OR,61,112,4.5177,0.234433451,2
OR,61,146,4.5879,0.221626452,2
OR,61,137,4.4687,0.274240831,2
OR,61,130,4.9768,0.18939881,2
OR,61,133,3.3916,0.317637693,2
OR,61,118,4.4716,0.251475982,2
OR,61,130,4.7292,0.251564747,2
OR,61,132,4.3787,0.247150981,2
OR,61,142,5.0668,0.196990211,2
OR,61,119,4.0581,0.290456125,2
OR,61,116,4.4815,0.232288296,2
OR,61,138,3.7874,0.267993874,2
OR,61,144,5.448,0.190675477,2
OR,61,128,4.416,0.207336957,2
OR,61,147,4.65,0.210301075,2
OR,61,124,4.8471,0.200078397,2
OR,61,138,5.0102,0.205400982,2
OR,61,110,3.8615,,2
OR,61,139,4.9404,0.2189094,2
OR,61,138,4.4445,0.224479694,2
OR,61,126,5.0652,0.183408355,2
OR,61,110,4.6527,0.205085219,2
OR,61,129,4.4555,0.191628325,2
OR,61,144,4.3848,0.243705528,2
OR,61,136,5.3517,0.163013622,2
OR,61,140,4.5051,0.263235,2
OR,61,116,4.9973,0.23416645,2
OR,61,129,4.44,0.226103604,2
OR,61,134,4.8063,0.212720804,2
OR,61,129,4.2351,0.263228731,2
OR,61,131,4.2037,0.228917382,2
OR,61,124,3.7095,0.366545357,3
OR,61,138,3.6554,0.32986814,3
OR,61,73,3.8125,,3
OR,61,138,4.495,0.293170189,3
OR,61,129,5.5185,0.297182205,3
OR,61,140,5.7536,0.229612764,3
OR,61,123,4.7749,0.320634987,3
OR,61,143,3.7146,0.404000431,3
OR,61,138,6.0791,0.264266092,3
OR,61,121,4.1667,0.315405477,3
OR,61,114,5.5004,0.245545778,3
OR,61,124,4.4596,0.298524531,3
OR,61,140,4.41,0.301587302,3
OR,61,140,6.3148,,
OR,61,145,5.1457,,
OR,61,120,4.7195,,
OR,61,136,3.8678,,
OR,61.5,145,4.6703,0.218230092,2
OR,62,107,4.7466,0.113217882,1
OR,62,131,5.144,0.106823484,1
OR,62,144,4.1342,0.14290552,1
OR,62,130,3.3658,0.156426407,1
OR,62,136,5.0758,0.066669294,1
OR,62,140,4.68,0.123931624,1
OR,62,127,4.1316,0.12663375,1
OR,62,125,4.6736,,1
OR,62,146,4.667,0.117634455,1
OR,62,138,4.6428,0.124278453,1
OR,62,122,4.3463,0.114488185,1
OR,62,109,4.6138,,1
OR,62,139,6.013,0.089406286,1
OR,62,135,4.9667,0.098193972,1
OR,62,115,4.3713,0.219934573,2
OR,62,137,4.397,0.263475097,2
OR,62,149,4.1905,0.219782842,2
OR,62,139,5.275,0.207924171,2
OR,62,119,5.1037,0.220271568,2
OR,62,116,4.3456,0.263277798,2
OR,62,124,4.5516,0.208542051,2
OR,62,138,4.5781,0.216727463,2
OR,62,135,4.8351,0.198754938,2
OR,62,121,4.825,0.217326425,2
OR,62,152,5.2503,0.212616422,2
OR,62,138,4.0355,0.28375666,2
OR,62,144,5.3388,,2
OR,62,134,4.8409,0.159288562,2
OR,62,130,4.81,0.177962578,2
OR,62,108,4.3338,0.254164936,2
OR,62,137,4.5806,0.227895909,2
OR,62,140,4.11,0.260340633,2
OR,62,134,3.7077,0.294899803,2
OR,62,142,3.2035,0.318557827,2
OR,62,109,5.2695,0.196584116,2
OR,62,132,3.7688,0.263054553,2
OR,62,135,4.5087,0.243129949,2
OR,62,141,4.699,0.252223877,2
OR,62,142,4.2796,0.273600336,2
OR,62,137,3.995,0.302403004,2
OR,62,126,3.981,0.261743281,2
OR,62,135,3.8501,0.28916132,2
OR,62,136,3.9995,0.277709714,2
OR,62,119,3.987,0.268096313,2
OR,62,107,4.4413,0.215184743,2
OR,62,148,4.3799,0.23158063,2
OR,62,112,4.092,0.226173021,2
OR,62,141,4.3345,0.207198062,2
OR,62,122,4.476,0.239588919,2
OR,62,120,4.3975,0.240272882,2
OR,62,139,4.41,0.232675737,2
OR,62,137,4.639,0.219228282,2
OR,62,104,4.09,0.276185819,2
